0,-0.085
1,-0.08
2,-0.07
3,-0.075
4,-0.095
5,-0.09
6,-0.1
7,-0.1
8,-0.1
9,-0.085
10,-0.06
11,-0.045
12,-0.055
13,-0.06
14,-0.07
15,-0.08
16,-0.085
17,-0.08
18,-0.07
19,-0.04
20,-0.05
21,-0.045
22,-0.04
23,-0.04
24,-0.055
25,-0.06
26,-0.055
27,-0.055
28,-0.055
29,-0.045
30,-0.04
31,-0.045
32,-0.04
33,-0.03
34,-0.035
35,-0.045
36,-0.055
37,-0.055
38,-0.05
39,-0.02
40,-0.015
41,-0.01
42,0.005
43,0
44,-0.005
45,-0.025
46,-0.035
47,-0.03
48,-0.03
49,-0.015
50,-0.005
51,0
52,0.01
53,0.02
54,0
55,-0.005
56,0.005
57,0.005
58,0.01
59,0.025
60,0.04
61,0.055
62,0.06
63,0.045
64,0.04
65,0.045
66,0.04
67,0.04
68,0.07
69,0.075
70,0.09
71,0.105
72,0.105
73,0.115
74,0.105
75,0.1
76,0.1
77,0.095
78,0.125
79,0.155
80,0.16
81,0.16
82,0.175
83,0.175
84,0.155
85,0.16
86,0.15
87,0.15
88,0.16
89,0.18
90,0.19
91,0.19
92,0.2
93,0.19
94,0.18
95,0.175
96,0.165
97,0.16
98,0.165
99,0.155
100,0.165
101,0.165
102,0.17
103,0.145
104,0.135
105,0.11
106,0.09
107,0.07
108,0.075
109,0.085
110,0.085
111,0.07
112,0.07
113,0.05
114,0.04
115,0.025
116,0.005
117,-0.005
118,0
119,0
120,0.005
121,0.01
122,0
123,0.01
124,0.015
125,0.03
126,0.035
127,0.045
128,0.065
129,0.085
130,0.09
131,0.12
132,0.115
133,0.09
134,0.085
135,0.07
136,0.08
137,0.08
138,0.09
139,0.095
140,0.11
141,0.115
142,0.13
143,0.115
144,0.1
145,0.095
146,0.095
147,0.095
148,0.1
149,0.11
150,0.12
151,0.125
152,0.14
153,0.135
154,0.115
155,0.115
156,0.115
157,0.115
158,0.125
159,0.13
160,0.125
161,0.14
162,0.14
163,0.14
164,0.13
165,0.105
166,0.1
167,0.1
168,0.13
169,0.14
170,0.135
171,0.15
172,0.145
173,0.13
174,0.125
175,0.125
176,0.115
177,0.12
178,0.125
179,0.14
180,0.14
181,0.15
182,0.145
183,0.14
184,0.135
185,0.14
186,0.125
187,0.125
188,0.135
189,0.145
190,0.145
191,0.14
192,0.135
193,0.12
194,0.12
195,0.11
196,0.115
197,0.12
198,0.135
199,0.135
200,0.13
201,0.135
202,0.13
203,0.11
204,0.11
205,0.11
206,0.105
207,0.115
208,0.125
209,0.13
210,0.115
211,0.12
212,0.115
213,0.105
214,0.1
215,0.105
216,0.09
217,0.1
218,0.105
219,0.11
220,0.12
221,0.135
222,0.12
223,0.11
224,0.095
225,0.1
226,0.095
227,0.1
228,0.11
229,0.11
230,0.115
231,0.115
232,0.095
233,0.08
234,0.075
235,0.07
236,0.07
237,0.075
238,0.09
239,0.085
240,0.1
241,0.125
242,0.11
243,0.105
244,0.075
245,0.08
246,0.065
247,0.075
248,0.08
249,0.09
250,0.1
251,0.115
